fecha;hora;rut
2022/10/28;08:15;12345689-5
2022/10/28;17:25;12345689-5
2022/10/27;08:00;12345689-5
2022/10/27;18:00;12345689-5
2022/10/26;08:00;12345689-5
2022/10/26;19:00;12345689-5
2022/10/25;08:00;12345689-5
2022/10/25;18:05;12345689-5
2022/10/24;08:00;12345689-5
2022/10/24;18:00;12345689-5
2022/10/23;08:00;12345689-5
2022/10/23;18:00;12345689-5
2022/10/22;08:00;12345689-5
2022/10/22;18:00;12345689-5
2022/10/21;08:00;12345689-5
2022/10/21;18:00;12345689-5
2022/10/20;08:00;12345689-5
2022/10/20;18:00;12345689-5
2022/10/19;08:00;12345689-5
2022/10/19;18:00;12345689-5
2022/10/18;08:00;12345689-5
2022/10/18;18:00;12345689-5
2022/10/17;08:00;12345689-5
2022/10/17;18:00;12345689-5
2022/10/28;08:00;13456789-1
2022/10/28;18:00;13456789-1
2022/10/27;08:00;13456789-1
2022/10/27;18:00;13456789-1
2022/10/26;08:00;13456789-1
2022/10/26;18:00;13456789-1
2022/10/25;08:00;13456789-1
2022/10/25;18:00;13456789-1
2022/10/24;08:00;13456789-1
2022/10/24;18:00;13456789-1
2022/10/23;08:00;13456789-1
2022/10/23;18:00;13456789-1
2022/10/22;08:00;13456789-1
2022/10/22;18:00;13456789-1
2022/10/21;08:00;13456789-1
2022/10/21;18:00;13456789-1
2022/10/20;08:00;13456789-1
2022/10/20;18:00;13456789-1
2022/10/19;08:00;13456789-1
2022/10/19;18:00;13456789-1
2022/10/18;08:00;13456789-1
2022/10/18;18:00;13456789-1
2022/10/17;08:00;13456789-1
2022/10/17;18:00;13456789-1
2022/10/16;08:00;13456789-1
2022/10/16;18:00;13456789-1
2022/10/15;08:00;13456789-1
2022/10/15;18:00;13456789-1
2022/10/14;08:00;13456789-1
2022/10/14;18:00;13456789-1
2022/10/13;08:00;13456789-1
2022/10/13;18:00;13456789-1
2022/10/12;08:00;13456789-1
2022/10/12;18:00;13456789-1
2022/10/11;08:00;13456789-1
2022/10/11;18:00;13456789-1
2022/10/10;08:00;13456789-1
2022/10/10;18:00;13456789-1
2022/10/09;08:00;13456789-1
2022/10/09;18:00;13456789-1
2022/10/28;08:00;9012345-6
2022/10/28;18:00;9012345-6
2022/10/27;08:00;9012345-6
2022/10/27;18:00;9012345-6
2022/10/26;08:00;9012345-6
2022/10/26;18:00;9012345-6
2022/10/25;08:00;9012345-6
2022/10/25;18:00;9012345-6
2022/10/24;08:00;9012345-6
2022/10/24;18:00;9012345-6
2022/10/23;08:00;9012345-6
2022/10/23;18:00;9012345-6
2022/10/22;08:00;9012345-6
2022/10/22;18:00;9012345-6
2022/10/21;08:00;9012345-6
2022/10/21;18:00;9012345-6
2022/10/20;08:00;9012345-6
2022/10/20;18:00;9012345-6
2022/10/19;08:00;9012345-6
2022/10/19;18:00;9012345-6
2022/10/18;08:00;9012345-6
2022/10/18;18:00;9012345-6
2022/10/17;08:00;9012345-6
2022/10/17;18:00;9012345-6
2022/10/28;08:00;20123456-4
2022/10/28;18:00;20123456-4
2022/10/27;08:00;20123456-4
2022/10/27;18:00;20123456-4
2022/10/26;08:00;20123456-4
2022/10/26;18:00;20123456-4
2022/10/25;08:00;20123456-4
2022/10/25;18:00;20123456-4
2022/10/24;08:00;20123456-4
2022/10/24;18:00;20123456-4
2022/10/23;08:00;20123456-4
2022/10/23;18:00;20123456-4
2022/10/22;08:00;20123456-4
2022/10/22;18:00;20123456-4
2022/10/21;08:00;20123456-4
2022/10/21;18:00;20123456-4
2022/10/20;08:00;20123456-4
2022/10/20;18:00;20123456-4
2022/10/19;08:00;20123456-4
2022/10/19;18:00;20123456-4
2022/10/18;08:00;20123456-4
2022/10/18;18:00;20123456-4
2022/10/17;08:00;20123456-4
2022/10/17;18:00;20123456-4
2022/10/28;08:00;9066661-3
2022/10/28;18:00;9066661-3
2022/10/27;08:00;9066661-3
2022/10/27;18:00;9066661-3
2022/10/26;08:00;9066661-3
2022/10/26;18:00;9066661-3
2022/10/25;08:00;9066661-3
2022/10/25;18:00;9066661-3
2022/10/24;08:00;9066661-3
2022/10/24;18:00;9066661-3
2022/10/23;08:00;9066661-3
2022/10/23;18:00;9066661-3
2022/10/22;08:00;9066661-3
2022/10/22;18:00;9066661-3
2022/10/21;08:00;9066661-3
2022/10/21;18:00;9066661-3
2022/10/20;08:00;9066661-3
2022/10/20;18:00;9066661-3
2022/10/19;08:00;9066661-3
2022/10/19;18:00;9066661-3
2022/10/18;08:00;9066661-3
2022/10/18;18:00;9066661-3
2022/10/17;08:00;9066661-3
2022/10/17;18:00;9066661-3
2022/10/28;08:00;10123456-9
2022/10/28;18:00;10123456-9
2022/10/27;08:00;10123456-9
2022/10/27;18:00;10123456-9
2022/10/26;08:00;10123456-9
2022/10/26;18:00;10123456-9
2022/10/25;08:00;10123456-9
2022/10/25;18:00;10123456-9
2022/10/24;08:00;10123456-9
2022/10/24;18:00;10123456-9
2022/10/23;08:00;10123456-9
2022/10/23;18:00;10123456-9
2022/10/22;08:00;10123456-9
2022/10/22;18:00;10123456-9
2022/10/21;08:00;10123456-9
2022/10/21;18:00;10123456-9
2022/10/20;08:00;10123456-9
2022/10/20;18:00;10123456-9
2022/10/19;08:00;10123456-9
2022/10/19;18:00;10123456-9
2022/10/18;08:00;10123456-9
2022/10/18;18:00;10123456-9
2022/10/17;08:00;10123456-9
2022/10/17;18:00;10123456-9






